Sl. No. - (Col.1),Category - (Col.2),State/UT - (Col.3),Number of Suicides - (Col.4),Percentage Share in Total Suicides - (Col.5),Projected Mid-Year Population # (in Lakh) - (Col.6),Rate of Suicides - (Col.7 = Col.4/Col.6)
1,State,Andhra Pradesh,5319,4,520.3,10.2
2,State,Arunachal Pradesh,132,0.1,14.9,8.9
3,State,Assam,2379,1.8,340.4,7
4,State,Bihar,443,0.3,1183.3,0.4
5,State,Chhattisgarh,7046,5.2,284.7,24.7
6,State,Goa,256,0.2,15.3,16.7
7,State,Gujarat,7793,5.8,673.2,11.6
8,State,Haryana,3547,2.6,284,12.5
9,State,Himachal Pradesh,740,0.6,72.7,10.2
10,State,Jammu & Kashmir,330,0.2,134.3,2.5
11,State,Jharkhand,1317,1,370.5,3.6
12,State,Karnataka,11561,8.6,654.5,17.7
13,State,Kerala,8237,6.1,350,23.5
14,State,Madhya Pradesh,11775,8.8,814.7,14.5
15,State,Maharashtra,17972,13.4,1213.9,14.8
16,State,Manipur,52,0,30.8,1.7
17,State,Meghalaya,189,0.1,11.8,16
18,State,Mizoram,79,0.1,32,2.5
19,State,Nagaland,36,0,21.3,1.7
20,State,Odisha,4592,3.4,435.5,10.5
21,State,Punjab,1714,1.3,297,5.8
22,State,Rajasthan,4333,3.2,765.9,5.7
23,State,Sikkim,199,0.1,6.6,30.2
24,State,Tamil Nadu,13896,10.3,754.6,18.4
25,State,Telangana,7845,5.8,370.3,21.2
26,State,Tripura,720,0.5,39.6,18.2
27,State,Uttar Pradesh,4849,3.6,2230,2.2
28,State,Uttarakhand,421,0.3,110.6,3.8
29,State,West Bengal,13255,9.9,965,13.7
State,State,Total (States),131027,97.4,12997.7,10.1
30,Union Territory,A & N Islands,164,0.1,4,41
31,Union Territory,Chandigarh,160,0.1,11.7,13.7
32,Union Territory,D & N Haveli,101,0.1,5.3,19.1
33,Union Territory,Daman & Diu,35,0,4,8.8
34,Union Territory,Delhi (UT),2526,1.9,195.6,12.9
35,Union Territory,Lakshadweep,3,0,0.7,4.3
36,Union Territory,Puducherry,500,0.4,14.8,33.8
Union Territory,Union Territory,Total (UTs),3489,2.6,236.1,14.8
Total (All India),Total (All India),Total (All India),134516,100,13233.8,10.2
