Sl. No.,Cause,2017 - (Total),2018 - Male,2018 - Female,2018 - Transgender,2018 - Total,% Var.,Percentage Share of Suicides during 2018
1,Bankruptcy or Indebtedness,5151,4508,462,0,4970,-3.5,3.7
2,Marriage Related Issues (Total),7196,3690,4594,0,8284,15.1,6.2
2,2.1 Non Settlement of Marriage,1972,1545,1040,0,2585,31.1,1.9
2,2.2 Dowry Related Issues,2106,164,1852,0,2016,-4.3,1.5
2,2.3 Extra Marital Affairs,1017,633,630,0,1263,24.2,0.9
2,2.4 Divorce,478,343,303,0,646,35.1,0.5
2,2.5 Others,1623,1005,769,0,1774,9.3,1.3
3,Failure in Examination,2540,1453,1172,0,2625,3.3,2
4,Impotency/Infertility,363,115,182,0,297,-18.2,0.2
5,Family Problems,39038,26975,13959,1,40935,4.9,30.4
6,Illness (Total),23988,16274,7487,3,23764,-0.9,17.7
6,6.1 AIDS/STD,217,146,26,0,172,-20.7,0.1
6,6.2 Cancer,1175,928,339,0,1267,7.8,0.9
6,6.3 Paralysis,1028,868,253,0,1121,9,0.8
6,6.4 Insanity/ Mental Illness,10246,7101,3032,1,10134,-1.1,7.5
6,6.5 Other Prolonged Illness,11322,7231,3837,2,11070,-2.2,8.2
7,Death of Dear Person,1074,714,359,0,1073,-0.1,0.8
8,Drug Abuse/Alcoholic Addiction,6705,7039,153,1,7193,7.3,5.3
9,Fall in Social Reputation,607,399,123,2,524,-13.7,0.4
10,Ideological Causes/Hero Worshipping,94,58,36,0,94,0,0.1
11,Love Affairs,5100,3077,2265,0,5342,4.7,4
12,Poverty,1198,1023,179,0,1202,0.3,0.9
13,Unemployment,2404,2431,310,0,2741,14,2
14,Property Dispute,1301,988,221,0,1209,-7.1,0.9
15,Suspected/Illicit Relation (Other than Sl. No. 2.3),774,410,243,0,653,-15.6,0.5
16,Illegitimate Pregnancy (Other than Sl. No. 2.3),42,0,44,0,44,4.8,0
17,"Physical Abuse (Rape, etc.)",107,101,90,1,192,79.4,0.1
18,Professional/Career Problem,1875,1409,288,0,1697,-9.5,1.3
19,Causes Not Known,14479,10054,4773,1,14828,2.4,11
20,Other Causes,15851,11396,5451,2,16849,6.3,12.5
21,Total,129887,92114,42391,11,134516,3.6,100
﻿Sl. No.,Profession,Male,Female,Transgender,Total,Percentage Share
1,House wife,0,22937,0,22937,17.1
2,Professionals/Salaried Persons (Total),10562,1412,1,11975,8.9
2,2.1 Government Servants (Total),1431,276,0,1707,1.3
2,2.1.1 Central/UT Govt. Servants,263,41,0,304,0.2
2,2.1.2 State Govt. Servants,732,159,0,891,0.7
2,2.1.3 Other Statutory Body/etc.,436,76,0,512,0.4
2,2.2 Private Sector Enterprises,7350,895,1,8246,6.1
2,2.3 Public Sector Undertaking,1781,241,0,2022,1.5
3,Students,5369,4790,0,10159,7.6
4,Unemployed Persons,10687,2248,1,12936,9.6
5,Self-employed Persons (Total),12175,974,0,13149,9.8
5,5.1 Business (Total),7488,502,0,7990,5.9
5,5.1.1 Vendor,2933,297,0,3230,2.4
5,5.1.2 Tradesmen,2498,117,0,2615,1.9
5,5.1.3 Other Business,2057,88,0,2145,1.6
5,5.2 Other Self-employed Persons,4687,472,0,5159,3.8
6,Persons Engaged in Farming Sector,9528,821,0,10349,7.7
6,6.1 Farmers/Cultivators,5457,306,0,5763,4.3
6,6.1.1 who cultivate their own land with or without assistance of agricultural labourers,4848,240,0,5088,3.8
6,6.1.2 who cultivate on leased land/work on lease/on other's land (known by different nomenclature) with or without assistance of agricultural labourers,609,66,0,675,0.5
6,6.2 Agricultural Labourers,4071,515,0,4586,3.4
7,Daily Wage Earner,26589,3535,3,30127,22.4
8,Retired Persons,975,139,0,1114,0.8
9,Other Persons,16229,5535,6,21770,16.2
10,Total,92114,42391,11,134516,100
﻿Sl. No.,Category,State/UT,House wife - Male,House wife - Female,House wife - Transgender,House wife - Total,Professionals/Salaried Persons (Total) - Male,Professionals/Salaried Persons (Total) - Female,Professionals/Salaried Persons (Total) - Transgender,Professionals/Salaried Persons (Total) - Total,Professionals/Salaried Persons [Government Servants (Total)] - Male,Professionals/Salaried Persons [Government Servants (Total)] - Female,Professionals/Salaried Persons [Government Servants (Total)] - Transgender,Professionals/Salaried Persons [Government Servants (Total)] - Total,Professionals/Salaried Persons [Government Servants (Central/UT Govt. Servants)] - Male,Professionals/Salaried Persons [Government Servants (Central/UT Govt. Servants)] - Female,Professionals/Salaried Persons [Government Servants (Central/UT Govt. Servants)] - Transgender,Professionals/Salaried Persons [Government Servants (Central/UT Govt. Servants)] - Total,Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Male,Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Female,Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Transgender,Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Total,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Male,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Female,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Transgender,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Total,Professionals/Salaried Persons (Private Sector Enterprises) - Male,Professionals/Salaried Persons (Private Sector Enterprises) - Female,Professionals/Salaried Persons (Private Sector Enterprises) - Transgender,Professionals/Salaried Persons (Private Sector Enterprises) - Total,Professionals/Salaried Persons (Public Sector Undertaking) - Male,Professionals/Salaried Persons (Public Sector Undertaking) - Female,Professionals/Salaried Persons (Public Sector Undertaking) - Transgender,Professionals/Salaried Persons (Public Sector Undertaking) - Total,Students - Male,Students - Female,Students - Transgender,Students - Total,Unemployed Persons - Male,Unemployed Persons - Female,Unemployed Persons - Transgender,Unemployed Persons - Total,Self-employed Persons (Total) - Male,Self-employed Persons (Total) - Female,Self-employed Persons (Total) - Transgender,Self-employed Persons (Total) - Total,Self-employed Persons [Business (Total)] - Male,Self-employed Persons [Business (Total)] - Female,Self-employed Persons [Business (Total)] - Transgender,Self-employed Persons [Business (Total)] - Total,Self-employed Persons [Business (Vendor)] - Male,Self-employed Persons [Business (Vendor)] - Female,Self-employed Persons [Business (Vendor)] - Transgender,Self-employed Persons [Business (Vendor)] - Total,Self-employed Persons [Business (Tradesmen)] - Male,Self-employed Persons [Business (Tradesmen)] - Female,Self-employed Persons [Business (Tradesmen)] - Transgender,Self-employed Persons [Business (Tradesmen)] - Total,Self-employed Persons [Business (Other Business)] - Male,Self-employed Persons [Business (Other Business)] - Female,Self-employed Persons [Business (Other Business)] - Transgender,Self-employed Persons [Business (Other Business)] - Total,Other Self-employed Persons - Male,Other Self-employed Persons - Female,Other Self-employed Persons - Transgender,Other Self-employed Persons - Total,Persons Engaged in Farming Sector (Total) - Male,Persons Engaged in Farming Sector (Total) - Female,Persons Engaged in Farming Sector (Total) - Transgender,Persons Engaged in Farming Sector (Total) - Total,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Male,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Female,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Transgender,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Total,Farmers/Cultivators (Who Cultivate Their Own Land*) - Male,Farmers/Cultivators (Who Cultivate Their Own Land*) - Female,Farmers/Cultivators (Who Cultivate Their Own Land*) - Transgender,Farmers/Cultivators (Who Cultivate Their Own Land*) - Total,Farmers/Cultivators (Who Cultivate On Lease Land#) - Male,Farmers/Cultivators (Who Cultivate On Lease Land#) - Female,Farmers/Cultivators (Who Cultivate On Lease Land#) - Transgender,Farmers/Cultivators (Who Cultivate On Lease Land#) - Total,Persons engaged in Farming Sector (Agricultural Labourers) - Male,Persons engaged in Farming Sector (Agricultural Labourers) - Female,Persons engaged in Farming Sector (Agricultural Labourers) - Transgender,Persons engaged in Farming Sector (Agricultural Labourers) - Total,Daily Wage Earner - Male,Daily Wage Earner - Female,Daily Wage Earner - Transgender,Daily Wage Earner - Total,Retired Persons - Male,Retired Persons - Female,Retired Persons - Transgender,Retired Persons - Total,Other Persons - Male,Other Persons - Female,Other Persons - Transgender,Other Persons - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
1,State,Andhra Pradesh,0,809,0,809,243,26,0,269,65,10,0,75,11,2,0,13,46,7,0,53,8,1,0,9,165,13,0,178,13,3,0,16,207,153,0,360,397,55,0,452,537,71,0,608,291,52,0,343,117,27,0,144,95,20,0,115,79,5,0,84,246,19,0,265,593,71,0,664,340,25,0,365,186,13,0,199,154,12,0,166,253,46,0,299,1229,280,1,1510,38,0,0,38,507,101,1,609,3751,1566,2,5319
2,State,Arunachal Pradesh,0,13,0,13,15,0,0,15,8,0,0,8,3,0,0,3,5,0,0,5,0,0,0,0,6,0,0,6,1,0,0,1,17,11,0,28,19,3,0,22,18,4,0,22,2,1,0,3,0,1,0,1,0,0,0,0,2,0,0,2,16,3,0,19,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,2,0,8,0,0,0,0,17,3,0,20,96,36,0,132
3,State,Assam,0,338,0,338,134,21,0,155,18,1,0,19,4,0,0,4,9,1,0,10,5,0,0,5,100,15,0,115,16,5,0,21,146,83,0,229,628,127,0,755,150,14,0,164,92,1,0,93,31,1,0,32,38,0,0,38,23,0,0,23,58,13,0,71,52,3,0,55,5,0,0,5,5,0,0,5,0,0,0,0,47,3,0,50,206,29,0,235,14,1,0,15,346,87,0,433,1676,703,0,2379
4,State,Bihar,0,80,0,80,44,1,0,45,3,1,0,4,1,0,0,1,2,1,0,3,0,0,0,0,23,0,0,23,18,0,0,18,84,75,0,159,90,21,0,111,22,0,0,22,18,0,0,18,6,0,0,6,11,0,0,11,1,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,10,8,0,18,258,185,0,443
5,State,Chhattisgarh,0,1063,0,1063,121,13,0,134,57,6,0,63,6,0,0,6,38,5,0,43,13,1,0,14,54,2,0,56,10,5,0,15,311,292,0,603,458,81,0,539,247,2,0,249,192,2,0,194,105,1,0,106,22,0,0,22,65,1,0,66,55,0,0,55,440,27,0,467,182,0,0,182,182,0,0,182,0,0,0,0,258,27,0,285,1060,80,0,1140,20,0,0,20,2322,509,0,2831,4979,2067,0,7046
