Category,State/UT,House wife_Male,House wife_Female,House wife_Trans,House wife_Total,Professionals/Salaried Persons (Total)_Male,Professionals/Salaried Persons (Total)_Female,Professionals/Salaried Persons (Total)_Trans,Professionals/Salaried Persons (Total)_Total,Professionals/Salaried Persons [Government Servants (Total)]_Male,Professionals/Salaried Persons [Government Servants (Total)]_Female,Professionals/Salaried Persons [Government Servants (Total)]_Trans,Professionals/Salaried Persons [Government Servants (Total)]_Total,Professionals/Salaried Persons [Government Servants(Central/ UT Govt. Servants)]_Male,Professionals/Salaried Persons [Government Servants(Central/ UT Govt. Servants)]_Female,Professionals/Salaried Persons [Government Servants(Central/ UT Govt. Servants)]_Trans,Professionals/Salaried Persons [Government Servants(Central/ UT Govt. Servants)]_Total,Professionals/Salaried Persons [Government Servants(State  Govt. Servants)]_Male,Professionals/Salaried Persons [Government Servants(State  Govt. Servants)]_Female,Professionals/Salaried Persons [Government Servants(State  Govt. Servants)]_Trans,Professionals/Salaried Persons [Government Servants(State  Govt. Servants)]_Total,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)]_Male,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)]_Female,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)]_Trans,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)]_Total,Professionals/Salaried Persons  (Private Sector Enterprises)_Male,Professionals/Salaried Persons  (Private Sector Enterprises)_Female,Professionals/Salaried Persons  (Private Sector Enterprises)_Trans,Professionals/Salaried Persons  (Private Sector Enterprises)_Total,Professionals/Salaried Persons (Public Sector Undertaking)_Male,Professionals/Salaried Persons (Public Sector Undertaking)_Female,Professionals/Salaried Persons (Public Sector Undertaking)_Trans,Professionals/Salaried Persons (Public Sector Undertaking)_Total,Students_Male,Students_Female,Students_Trans,Students_Total,Unemployed Persons_Male,Unemployed Persons_Female,Unemployed Persons_Trans,Unemployed Persons_Total,Self-employed Persons(Total)_Male,Self-employed Persons(Total)_Female,Self-employed Persons(Total)_Trans,Self-employed Persons(Total)_Total,Self-employed Persons [Business (Total)]_Male,Self-employed Persons [Business (Total)]_Female,Self-employed Persons [Business (Total)]_Trans,Self-employed Persons [Business (Total)]_Total,Self-employed Persons [Business(Vendor)]_Male,Self-employed Persons [Business(Vendor)]_Female,Self-employed Persons [Business(Vendor)]_Trans,Self-employed Persons [Business(Vendor)]_Total,Self-employed Persons [Business(Tradesmen)]_Male,Self-employed Persons [Business(Tradesmen)]_Female,Self-employed Persons [Business(Tradesmen)]_Trans,Self-employed Persons [Business(Tradesmen)]_Total,Self-employed Persons [Business(Other Business)]_Male,Self-employed Persons [Business(Other Business)]_Female,Self-employed Persons [Business(Other Business)]_Trans,Self-employed Persons [Business(Other Business)]_Total,Other Self-employed Persons_Male,Other Self-employed Persons_Female,Other Self-employed Persons_Trans,Other Self-employed Persons_Total,Persons Engaged in Farming Sector (Total)_Male,Persons Engaged in Farming Sector (Total)_Female,Persons Engaged in Farming Sector (Total)_Trans,Persons Engaged in Farming Sector (Total)_Total,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)]_Male,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)]_Female,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)]_Trans,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)]_Total,Farmers/Cultivators (Who Cultivate Their Own Land*)_Male,Farmers/Cultivators (Who Cultivate Their Own Land*)_Female,Farmers/Cultivators (Who Cultivate Their Own Land*)_Trans,Farmers/Cultivators (Who Cultivate Their Own Land*)_Total,Farmers/Cultivators (Who Cultivate On Lease Land#)_Male,Farmers/Cultivators (Who Cultivate On Lease Land#)_Female,Farmers/Cultivators (Who Cultivate On Lease Land#)_Trans,Farmers/Cultivators (Who Cultivate On Lease Land#)_Total,Persons engaged in Farming Sector (Agricultural Laborers)_Male,Persons engaged in Farming Sector (Agricultural Laborers)_Female,Persons engaged in Farming Sector (Agricultural Laborers)_Trans,Persons engaged in Farming Sector (Agricultural Laborers)_Total,Daily Wage Earner_Male,Daily Wage Earner_Female,Daily Wage Earner_Trans,Daily Wage Earner_Total,Retired Persons_Male,Retired Persons_Female,Retired Persons_Trans,Retired Persons_Total,Other Persons_Male,Other Persons_Female,Other Persons_Trans,Other Persons_Total,Total_Male,Total_Female,Total_Trans,Total_Total
State,ANDHRA PRADESH,0,609,0,609,367,39,0,406,67,9,0,76,5,0,0,5,62,9,0,71,0,0,0,0,268,27,0,295,32,3,0,35,247,136,0,383,180,34,0,214,848,236,0,1084,255,19,0,274,86,13,0,99,105,4,0,109,64,2,0,66,593,217,0,810,839,190,0,1029,533,95,0,628,363,75,0,438,170,20,0,190,306,95,0,401,1811,356,0,2167,35,0,0,35,413,125,0,538,4740,1725,0,6465
State,ARUNACHAL PRADESH,0,9,0,9,7,0,0,7,7,0,0,7,5,0,0,5,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,22,15,0,37,12,4,0,16,9,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,16,2,0,18,0,0,0,0,14,1,0,15,81,31,0,112
State,ASSAM,0,378,0,378,178,3,0,181,32,2,0,34,9,0,0,9,12,0,0,12,11,2,0,13,137,1,0,138,9,0,0,9,236,121,0,357,687,104,0,791,252,4,0,256,252,4,0,256,142,2,0,144,110,2,0,112,0,0,0,0,0,0,0,0,107,0,0,107,26,0,0,26,11,0,0,11,15,0,0,15,81,0,0,81,201,78,0,279,12,0,0,12,6,3,0,9,1679,691,0,2370
State,BIHAR,0,111,0,111,31,15,0,46,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,29,12,0,41,1,3,0,4,100,66,0,166,121,46,0,167,64,6,0,70,58,6,0,64,32,0,0,32,26,6,0,32,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2,0,76,0,0,0,0,5,0,0,5,395,246,0,641
State,CHHATTISGARH,0,854,0,854,139,11,0,150,71,7,0,78,10,0,0,10,59,7,0,66,2,0,0,2,48,1,0,49,20,3,0,23,269,234,0,503,303,26,0,329,209,11,0,220,147,9,0,156,37,3,0,40,17,0,0,17,93,6,0,99,62,2,0,64,459,40,0,499,231,2,0,233,228,2,0,230,3,0,0,3,228,38,0,266,1476,203,0,1679,14,0,0,14,2651,730,0,3381,5520,2109,0,7629
State,GOA,0,35,0,35,54,2,0,56,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,47,2,0,49,3,0,0,3,21,14,0,35,54,6,0,60,35,0,0,35,30,0,0,30,21,0,0,21,8,0,0,8,1,0,0,1,5,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30,0,0,30,3,0,0,3,3,1,0,4,201,58,0,259
State,GUJARAT,0,1689,0,1689,818,28,0,846,44,6,0,50,4,0,0,4,29,5,0,34,11,1,0,12,761,15,0,776,13,7,0,20,266,309,0,575,356,17,0,373,799,17,0,816,558,1,0,559,91,0,0,91,336,1,0,337,131,0,0,131,241,16,0,257,99,19,0,118,3,0,0,3,2,0,0,2,1,0,0,1,96,19,0,115,2381,268,0,2649,274,53,0,327,175,86,1,262,5168,2486,1,7655
State,HARYANA,0,402,0,402,432,86,0,518,51,7,0,58,6,5,0,11,43,2,0,45,2,0,0,2,240,45,0,285,141,34,0,175,123,56,0,179,464,39,0,503,293,14,0,307,208,10,0,218,29,2,0,31,38,1,0,39,141,7,0,148,85,4,0,89,215,4,0,219,0,0,0,0,0,0,0,0,0,0,0,0,215,4,0,219,401,8,0,409,12,0,0,12,1357,285,0,1642,3297,894,0,4191
State,HIMACHAL PRADESH,0,142,0,142,95,10,0,105,13,3,0,16,5,1,0,6,8,2,0,10,0,0,0,0,73,5,0,78,9,2,0,11,55,35,0,90,112,12,0,124,43,4,0,47,40,4,0,44,17,1,0,18,20,3,0,23,3,0,0,3,3,0,0,3,16,0,0,16,12,0,0,12,12,0,0,12,0,0,0,0,4,0,0,4,53,4,0,57,2,0,0,2,1,0,0,1,377,207,0,584
State,JAMMU & KASHMIR,0,42,0,42,16,0,0,16,10,0,0,10,6,0,0,6,4,0,0,4,0,0,0,0,6,0,0,6,0,0,0,0,22,33,0,55,51,32,0,83,12,2,0,14,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,11,2,0,13,31,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,31,0,0,0,0,0,0,0,0,25,18,0,43,157,127,0,284
