,Sr. No.,Category ,State/UT,Number of Suicides (N)18,Number of Suicides (N)19,Number of Suicides (N)20,Percentage Share in Total Suicides18,Percentage Share in Total Suicides19,Percentage Share in Total Suicides20,Rate of Suicides - (N/P)18,Rate of Suicides - (N/P)19,Rate of Suicides - (N/P)20,Projected Mid-Year Population # (in Lakh)(P)18,Projected Mid-Year Population # (in Lakh)(P)19,Projected Mid-Year Population # (in Lakh)(P)20
0,1,State,Andhra Pradesh,5319,6465,7043,4,4.6,4.6,10.2,12.4,13.4,520.3,523.2,526
1,2,State,Arunachal Pradesh,132,112,160,0.1,0.1,0.1,8.9,7.4,10.5,14.9,15.1,15.2
2,3,State,Assam,2379,2370,3243,1.8,1.7,2.1,7,6.9,9.3,340.4,344.2,347.9
3,4,State,Bihar,443,641,809,0.3,0.5,0.5,0.4,0.5,0.7,1183.3,1201.1,1219
4,5,State,Chhattisgarh,7046,7629,7710,5.2,5.5,5,24.7,26.4,26.4,284.7,288.5,292.4
5,6,State,Goa,256,259,308,0.2,0.2,0.2,16.7,16.8,19.9,15.3,15.4,15.5
6,7,State,Gujarat,7793,7655,8050,5.8,5.5,5.3,11.6,11.2,11.6,673.2,682.5,691.7
7,8,State,Haryana,3547,4191,4001,2.6,3,2.6,12.5,14.5,13.7,284,288.1,292.1
8,9,State,Himachal Pradesh,740,584,857,0.6,0.4,0.6,10.2,8,11.6,72.7,73.2,73.6
9,10,State,Jammu & Kashmir,330,284,287,0.2,0.2,0.2,2.5,2.1,2.2,134.3,135.3,133.4
10,11,State,Jharkhand,1317,1646,2145,1,1.2,1.4,3.6,4.4,5.6,370.5,375.8,381.2
11,12,State,Karnataka,11561,11288,12259,8.6,8.1,8,17.7,17.1,18.4,654.5,659.7,665
12,13,State,Kerala,8237,8556,8500,6.1,6.1,5.6,23.5,24.3,24,350,351.9,353.7
13,14,State,Madhya Pradesh,11775,12457,14578,8.8,9,9.5,14.5,15.1,17.4,814.7,826.1,837.6
14,15,State,Maharashtra,17972,18916,19909,13.4,13.6,13,14.8,15.4,16.1,1213.9,1225.3,1236.8
15,16,State,Manipur,52,58,44,0,0,0,1.7,1.9,1.4,30.8,31.1,31.4
16,17,State,Meghalaya,189,198,224,0.1,0.1,0.1,16,6.1,6.9,11.8,32.3,32.6
17,18,State,Mizoram,79,70,108,0.1,0.1,0.1,2.5,5.9,8.9,32,12,12.1
18,19,State,Nagaland,36,41,48,0,0,0,1.7,1.9,2.2,21.3,21.6,21.8
19,20,State,Odisha,4592,4582,5546,3.4,3.3,3.6,10.5,10.5,12.2,435.5,437.3,454.7
20,21,State,Punjab,1714,2357,2616,1.3,1.7,1.7,5.8,7.9,8.7,297,299.4,301.8
21,22,State,Rajasthan,4333,4531,5658,3.2,3.3,3.7,5.7,5.8,7.2,765.9,776,786.1
22,23,State,Sikkim,199,220,285,0.1,0.2,0.2,30.2,33.1,42.5,6.6,6.7,6.7
23,24,State,Tamil Nadu,13896,13493,16883,10.3,9.7,11,18.4,17.8,22.2,754.6,758.1,761.7
24,25,State,Telangana,7845,7675,8058,5.8,5.5,5.3,21.2,20.6,21.5,370.3,372.8,375.4
25,26,State,Tripura,720,728,845,0.5,0.5,0.6,18.2,18.2,20.9,39.6,40,40.4
26,27,State,Uttar Pradesh,4849,5464,4804,3.6,3.9,3.1,2.2,2.4,2.1,2230,2259.7,2289.3
27,28,State,Uttarakhand,421,516,943,0.3,0.4,0.6,3.8,4.6,8.3,110.6,111.8,113.1
28,29,State,West Bengal,13255,12665,13103,9.9,9.1,8.6,13.7,13,13.4,965,971.1,977.2
29,State,State,Total (States),131027,135651,148737,97.4,97.5,97.2,10.1,10.3,11.3,12997.7,13135.2,13151.8
30,30,Union Territory,A & N Islands,164,181,180,0.1,0.1,0.1,41,45.5,45,4,4,4
31,31,Union Territory,Chandigarh,160,131,128,0.1,0.1,0.1,13.7,11.1,10.7,11.7,11.8,12
32,32,Union Territory,D & N Haveli,101,95,156,0.1,0.1,0.1,19.1,17.1,15,5.3,5.6,10.4
33,33,Union Territory,Daman & Diu,35,46,-,0,0,-,8.8,10.9,-,4,4.2,-
34,34,Union Territory,Delhi (UT),2526,2526,3142,1.9,1.8,2.1,12.9,12.7,15.5,195.6,199.4,203.2
35,35,Union Territory,Lakshadweep,3,0,2,0,0,0,4.3,0,2.9,0.7,0.7,0.7
36,36,Union Territory,Puducherry,500,493,408,0.4,0.4,0.3,33.8,32.5,26.3,14.8,15.2,15.5
37,Union Territory,Union Territory,Total (UTs),3489,3472,4315,2.6,2.5,2.8,14.8,14.4,11.3,236.1,240.8,382.1
38,Total (All India),Total (All India),Total (All India),134516,139123,153052,100,100,100,10.2,10.4,11.3,13233.8,13376.1,13533.9
